62,727;-0,921198;205;
61,4192;-0,895896;195;
62,727;-0,921198;205;
2,44422e-13;-7,44939e-18;199;
62,727;-0,921198;205;
62,727;-0,921198;205;
62,727;-0,921198;209;
62,727;-0,921198;209;
2,71026e-13;-7,44939e-18;209;
62,727;-0,921198;205;
62,727;-0,921198;199;
62,727;-0,921198;209;
2,62213e-13;-7,44939e-18;205;
62,727;-0,921198;205;
2,44422e-13;-7,44939e-18;209;
2,17753e-13;-7,44939e-18;205;
2,26595e-13;-7,44939e-18;209;
62,727;-0,921198;209;
62,727;-0,921198;205;
62,727;-0,921198;205;
2,26595e-13;-7,44939e-18;209;
2,35432e-13;-7,44939e-18;209;
62,727;-0,921198;209;
62,727;-0,921198;205;
2,26595e-13;-7,44939e-18;209;
62,727;-0,921198;199;
62,727;-0,921198;199;
2,88778e-13;-7,44939e-18;209;
62,727;-0,921198;205;
61,9068;-0,911164;195;
2,62066e-13;-7,44939e-18;199;
2,44422e-13;-7,44939e-18;205;
62,727;-0,921198;209;
62,727;-0,921198;205;
2,44422e-13;-7,44939e-18;205;
62,727;-0,921198;199;
62,727;-0,921198;209;
62,727;-0,921198;205;
2,26595e-13;-7,44939e-18;209;
2,35596e-13;-7,44939e-18;209;
2,26595e-13;-7,44939e-18;209;
2,26595e-13;-7,44939e-18;209;
62,727;-0,921198;195;
62,727;-0,921198;205;
2,88911e-13;-7,44939e-18;205;
62,727;-0,921198;205;
2,62213e-13;-7,44939e-18;205;
62,727;-0,921198;205;
2,62066e-13;-7,44939e-18;199;
62,727;-0,921198;205;
2,62213e-13;-7,44939e-18;205;
62,727;-0,921198;205;
2,44422e-13;-7,44939e-18;209;
62,727;-0,921198;205;
62,727;-0,921198;205;
62,727;-0,921198;199;
62,727;-0,921198;205;
62,727;-0,921198;205;
62,727;-0,921198;205;
62,727;-0,921198;205;
62,727;-0,921198;205;
2,62066e-13;-7,44939e-18;199;
62,727;-0,921198;199;
2,00052e-13;-7,44939e-18;205;
62,727;-0,921198;205;
2,62066e-13;-7,44939e-18;209;
2,44422e-13;-7,44939e-18;205;
2,17753e-13;-7,44939e-18;205;
62,727;-0,921198;209;
62,727;-0,921198;195;
2,26595e-13;-7,44939e-18;205;
62,727;-0,921198;205;
62,727;-0,921198;205;
2,26595e-13;-7,44939e-18;205;
2,26595e-13;-7,44939e-18;209;
2,62213e-13;-7,44939e-18;209;
62,727;-0,921198;205;
62,727;-0,921198;209;
62,727;-0,921198;199;
2,35432e-13;-7,44939e-18;209;
62,727;-0,921198;209;
62,727;-0,921198;205;
62,727;-0,921198;195;
62,727;-0,921198;209;
62,727;-0,921198;205;
1,91191e-13;-7,44939e-18;209;
62,727;-0,921198;209;
62,727;-0,921198;195;
2,44422e-13;-7,44939e-18;209;
62,727;-0,921198;209;
2,44422e-13;-7,44939e-18;205;
2,62066e-13;-7,44939e-18;205;
2,44422e-13;-7,44939e-18;209;
62,727;-0,921198;205;
2,17753e-13;-7,44939e-18;205;
2,79836e-13;-7,44939e-18;209;
62,727;-0,921198;205;
2,26595e-13;-7,44939e-18;209;
2,26595e-13;-7,44939e-18;205;
2,44422e-13;-7,44939e-18;205;
