85.911;55.356;72.442;10;
63.688;61.188;62.688;4;
79.293;59.59;70.98;9;
43.883;-25.115;13.328;12;
81.588;51.033;68.119;10;
61.973;62.973;64.473;4;
22.947;-7.6076;9.4783;10;
35.581;-9.7508;15.878;11;
2.9458;-2.9292;0.44578;6;
27.357;-17.975;7.6542;11;
83.335;52.781;69.866;10;
15.147;-4.5566;6.834;9;
6.1717;-2.1408;2.9217;7;
15.325;-4.3785;7.0121;9;
83.719;53.164;70.25;10;
80.783;50.228;67.314;10;
5.3918;-2.9207;2.1418;7;
72.172;58.703;66.297;8;
50.749;59.062;70.452;9;
4.1655;-1.7095;1.6655;6;
75.174;55.471;66.862;9;
6.6469;-1.6656;3.3969;7;
36.962;-8.3702;17.259;11;
45.809;59.278;76.364;10;
87.109;56.555;73.641;10;
31.738;-13.594;12.035;11;
31.045;-14.287;11.342;11;
8.9702;-4.4986;3.0952;8;
4.2172;-1.6578;1.7172;6;
77.356;57.653;69.044;9;
43.02;-25.978;12.466;12;
33.836;-11.496;14.133;11;
2.6776;-0.57238;1.6776;5;
7.1422;-6.3265;1.2672;8;
55.786;59.036;64.099;7;
64.887;61.637;63.887;5;
27.33;-18.002;7.6267;11;
87.561;57.007;74.093;10;
28.114;-17.218;8.4113;11;
15.753;-3.9503;7.4404;9;
33.843;-11.489;14.14;11;
73.354;59.885;67.479;8;
46.039;59.508;76.594;10;
96.13;50.798;76.427;11;
44.726;-24.272;14.172;12;
19.578;-10.977;6.109;10;
39.917;-29.081;9.3628;12;
89.589;44.257;69.886;11;
41.471;-27.527;10.916;12;
16.173;-3.5301;7.8605;9;
1.7137;-0.78627;0.71373;4;
17.756;-12.799;4.2872;10;
7.6844;-5.7844;1.8094;8;
12.12;-7.5833;3.8073;9;
83.831;53.276;70.362;10;
95.824;50.492;76.121;11;
67.196;61.321;64.696;6;
9.9707;-3.4981;4.0957;8;
29.392;-15.94;9.6889;11;
66.198;60.323;63.698;6;
97.935;52.603;78.232;11;
31.597;-13.735;11.894;11;
61.198;62.198;63.698;4;
37.97;-31.028;7.415;12;
50.567;58.88;70.27;9;
80.517;49.963;67.049;10;
35.009;-10.323;15.306;11;
39.489;-29.509;8.9345;12;
3.9104;-1.9646;1.4104;6;
94.88;49.548;75.177;11;
17.463;-13.092;3.9943;10;
67.92;59.607;64.67;7;
34.328;-11.004;14.624;11;
64.234;61.734;63.234;4;
20.069;-10.486;6.6002;10;
40.245;-28.753;9.6899;12;
16.747;-13.808;3.2783;10;
