2,11133e-13; ;-7,44939e-18; ;45;
1,08822e-13; ;-7,44939e-18; ;5;
-2,08936; ;8,73089e-05; ;5;
1,29703e-13; ;-7,44939e-18; ;5;
-0,928644; ;1,72476e-05; ;5;
0; ;-7,44939e-18; ;24;
2,27374e-13; ;-7,44939e-18; ;61;
62,726; ;-0,921198; ;37;
62,7221; ;-0,921198; ;37;
2,33911e-13; ;-7,44939e-18; ;20;
0; ;-7,44939e-18; ;21;
63,0843; ;-0,919281; ;5;
1,13687e-13; ;-7,44939e-18; ;29;
1,81899e-13; ;-7,44939e-18; ;77;
62,7268; ;-0,921198; ;33;
62,7278; ;-0,921198; ;33;
-6,93588; ;0,000962128; ;5;
2,18629e-13; ;-7,44939e-18; ;93;
-3,99922; ;0,000319876; ;5;
0; ;-7,44939e-18; ;24;
2,34479e-13; ;-7,44939e-18; ;41;
2,27374e-13; ;-7,44939e-18; ;45;
0; ;-7,44939e-18; ;21;
4,54747e-13; ;-7,44939e-18; ;29;
62,727; ;-0,921198; ;29;
2,48044e-13; ;-7,44939e-18; ;37;
8,31909e-13; ;-7,44939e-18; ;21;
2,13999e-13; ;-7,44939e-18; ;33;
0; ;-7,44939e-18; ;21;
2,21828e-13; ;-7,44939e-18; ;113;
2,19674; ;9,65137e-05; ;5;
2,06703e-13; ;-7,44939e-18; ;93;
2,55795e-13; ;-7,44939e-18; ;29;
2,43237e-13; ;-7,44939e-18; ;89;
2,33125e-13; ;-7,44939e-18; ;24;
62,727; ;-0,921198; ;25;
62,727; ;-0,921198; ;25;
62,7389; ;-0,921196; ;37;
2,32317e-13; ;-7,44939e-18; ;45;
62,7181; ;-0,921197; ;29;
0; ;-7,44939e-18; ;21;
2,27374e-13; ;-7,44939e-18; ;41;
62,7248; ;-0,921198; ;29;
62,7859; ;-0,921146; ;29;
0; ;-7,44939e-18; ;24;
62,7274; ;-0,921198; ;29;
2,27374e-13; ;-7,44939e-18; ;37;
2,21058e-13; ;-7,44939e-18; ;49;
2,27374e-13; ;-7,44939e-18; ;45;
61,6; ;-0,902343; ;25;
62,7981; ;-0,921122; ;33;
0; ;-7,44939e-18; ;24;
-12,4432; ;0,00309666; ;5;
2,27374e-13; ;-7,44939e-18; ;45;
2,27374e-13; ;-7,44939e-18; ;49;
62,7292; ;-0,921198; ;29;
2,27374e-13; ;-7,44939e-18; ;113;
62,7274; ;-0,921198; ;33;
62,727; ;-0,921198; ;33;
-6,83369; ;0,000933985; ;5;
-11,4173; ;0,0026071; ;5;
2,20877e-13; ;-7,44939e-18; ;49;
62,727; ;-0,921198; ;37;
2,55795e-13; ;-7,44939e-18; ;81;
0; ;-7,44939e-18; ;4;
62,7276; ;-0,921198; ;33;
-17,0372; ;0,00580533; ;5;
0; ;-7,44939e-18; ;24;
3,03165e-13; ;-7,44939e-18; ;29;
0; ;-7,44939e-18; ;4;
-4,12945; ;0,000341048; ;5;
76,6518; ;0,0899594; ;5;
1,92393e-13; ;-7,44939e-18; ;49;
0; ;-7,44939e-18; ;4;
62,8082; ;-0,921099; ;37;
0; ;-7,44939e-18; ;21;
2,27374e-13; ;-7,44939e-18; ;101;
62,719; ;-0,921197; ;37;
2,44864e-13; ;-7,44939e-18; ;33;
62,727; ;-0,921198; ;37;
3,41144e-12; ;-7,44939e-18; ;21;
1,18459e-13; ;-7,44939e-18; ;5;
62,6872; ;-0,921174; ;29;
2,41585e-13; ;-7,44939e-18; ;73;
3,41061e-13; ;-7,44939e-18; ;29;
2,27374e-13; ;-7,44939e-18; ;101;
2,2139e-13; ;-7,44939e-18; ;45;
62,7269; ;-0,921198; ;25;
-48,1641; ;0,0463956; ;5;
0; ;-7,44939e-18; ;4;
62,727; ;-0,921198; ;29;
0; ;-7,44939e-18; ;4;
-1,70043; ;5,7829e-05; ;5;
62,7559; ;-0,921186; ;25;
2,32831e-10; ;-7,44939e-18; ;24;
0; ;-7,44939e-18; ;24;
62,726; ;-0,921198; ;33;
62,7271; ;-0,921198; ;29;
-2,83302; ;0,00016052; ;5;
0; ;-7,44939e-18; ;24;
